,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
42,2022-01-02 10:00:00,47281.0378261,47355.7929069,47149.54384112,47193.50118242,985.5580389744156,405.06669473,874.49025072,-469.4235559899999,0.02375559,11.21
43,2022-01-02 11:00:00,47197.16665796,47421.41071318,47170.11138422,47241.79671132,1016.8358446600292,285.52971823,272.58785258,12.941865650000013,0.02220787,10.49
44,2022-01-02 12:00:00,47242.67404182,47458.51701306,47019.81722235,47300.4591068,2142.8878198568004,586.69685782,428.21782105,158.47903677,0.00761213,3.6
45,2022-01-02 13:00:00,47300.27925623,47310.64152886,47097.04093595,47141.6540485,1431.3452411479927,478.36237953,430.50965449,47.85272504,0.01639889,7.73
46,2022-01-02 14:00:00,47142.83092045,47209.4984743,47025.19860924,47118.33083143,1395.128331433372,570.12648891,670.77864972,-100.65216080999994,0.02871846,13.53
47,2022-01-02 15:00:00,47114.26821617,47394.43593676,47078.27515084,47351.78665264,2129.6782502804754,873.53031577,932.62496102,-59.094645249999985,0.04199367,19.88
48,2022-01-02 16:00:00,47351.76594225,47898.12685926,47287.99249082,47800.27984822,3913.760220560187,942.62945694,1071.26163361,-128.63217667000004,0.01516981,7.25
49,2022-01-02 17:00:00,47803.14698987,48001.07341842,47333.09216801,47416.21192457,4055.057933000297,990.98672434,715.18607926,275.80064508,0.03603289,17.08
50,2022-01-02 18:00:00,47411.83008265,47415.9364659,46663.27707428,47067.45633372,5189.431804449278,890.69069208,756.06380204,134.62689003999992,0.02237658,10.53
51,2022-01-02 19:00:00,47061.2951648,47227.28756538,46856.30859555,46922.33923973,2955.3474242389666,934.3698725,1131.32027636,-196.9504038599999,0.02628567,12.33
52,2022-01-02 20:00:00,46919.56243699,47060.2804763,46828.19447409,47017.38316605,1577.0275972913555,690.3888558,846.65554402,-156.26668822,0.02274123,10.69
53,2022-01-02 21:00:00,47018.5044171,47189.32235308,46925.09494722,47025.53127763,1294.3361435222876,217.12863968,178.61604393,38.51259575,0.02165127,10.18
54,2022-01-02 22:00:00,47015.77461124,47418.07609324,47012.05859328,47265.64574555,1537.4547909647038,1135.07504756,1053.9250733,81.14997426000014,0.03811206,18.01
55,2022-01-02 23:00:00,47268.33937129,47477.77951341,47265.5774941,47299.99964571,1999.2135139916577,423.88375309,437.62777962,-13.744026529999983,0.02725955,12.89
