start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1675641600000,5.47,15.83735112,0.02372645,0.06866456,2023-02-06 00:00:00+00:00
1675645200000,7.58,23.38731057,0.03298796,0.10171094,2023-02-06 01:00:00+00:00
1675648800000,6.96,36.05463881,0.03042248,0.15739606,2023-02-06 02:00:00+00:00
1675652400000,5.3,14.47673734,0.02314867,0.06320433,2023-02-06 03:00:00+00:00
1675656000000,4.45,4.90311651,0.01945515,0.02143573,2023-02-06 04:00:00+00:00
1675659600000,7.09,11.5923423,0.03113095,0.05088989,2023-02-06 05:00:00+00:00
1675663200000,5.61,8.04828375,0.02462315,0.03532137,2023-02-06 06:00:00+00:00
1675666800000,5.89,11.76092845,0.02574336,0.05139017,2023-02-06 07:00:00+00:00
1675670400000,1.68,0.72249798,0.00734812,0.00316025,2023-02-06 08:00:00+00:00
1675674000000,3.13,9.09116954,0.01370524,0.03979685,2023-02-06 09:00:00+00:00
1675677600000,5.79,10.76781799,0.02534759,0.04712932,2023-02-06 10:00:00+00:00
1675681200000,3.79,-0.77695227,0.01656597,-0.00339671,2023-02-06 11:00:00+00:00
1675684800000,2.57,2.57091544,0.0112296,0.0112336,2023-02-06 12:00:00+00:00
1675688400000,3.81,8.37279026,0.01668945,0.03666912,2023-02-06 13:00:00+00:00
1675692000000,-3.84,-0.33162503,-0.01681079,-0.00145157,2023-02-06 14:00:00+00:00
1675695600000,1.5,0.2269632,0.00651002,0.00098508,2023-02-06 15:00:00+00:00
1675699200000,2.02,4.99040092,0.00878275,0.02169495,2023-02-06 16:00:00+00:00
1675702800000,1.79,-4.22487252,0.00777052,-0.01834527,2023-02-06 17:00:00+00:00
1675706400000,1.39,46.7037209,0.00603872,0.20250029,2023-02-06 18:00:00+00:00
1675710000000,2.17,1.61909776,0.00942207,0.00703024,2023-02-06 19:00:00+00:00
1675713600000,2.62,7.76502606,0.01138841,0.03374486,2023-02-06 20:00:00+00:00
1675717200000,-0.12,-2.45527275,-0.00052367,-0.01071577,2023-02-06 21:00:00+00:00
1675720800000,3.12,-0.04101376,0.01363674,-0.00017929,2023-02-06 22:00:00+00:00
1675724400000,1.55,7.64921723,0.00680944,0.03359544,2023-02-06 23:00:00+00:00
1675728000000,2.09,8.27067155,0.00916863,0.03627279,2023-02-07 00:00:00+00:00
1675731600000,0.21,1.93374063,0.00091907,0.00846243,2023-02-07 01:00:00+00:00
1675735200000,0.94,3.50389087,0.00410773,0.01531001,2023-02-07 02:00:00+00:00
1675738800000,1.22,6.16118828,0.00533264,0.02692482,2023-02-07 03:00:00+00:00
